symbol,direction,qty,entry_date,exit_date,entry_px,exit_px,entry_ref,anchor_err_pct,gross_pnl,exit_reason,hold_days,return_pct
QCOM,long,59,2019-05-24,2019-06-21,58.28,61.7,57.72,0.974,201.58,T2_HIT,28,5.86
ABBV,long,274,2019-06-04,2019-06-26,56.3,49.72,55.98,0.579,-1803.3,STOP_LOSS,22,-11.69
QCOM,long,119,2019-05-24,2019-06-28,58.28,64.56,57.72,0.974,746.74,T3_HIT,35,10.77
QQQ,short,121,2019-06-19,2019-07-11,178.55,184.87,178.31,0.132,-765.78,TIME_STOP,22,-3.54
MSFT,short,168,2019-06-24,2019-07-16,128.39,130.23,128.36,0.026,-308.6,TIME_STOP,22,-1.43
CAT,short,187,2019-06-24,2019-07-16,115.45,120.43,115.66,-0.184,-932.09,TIME_STOP,22,-4.32
CVX,short,237,2019-06-24,2019-07-16,90.87,91.57,91.15,-0.307,-166.0,TIME_STOP,22,-0.77
WMT,short,647,2019-06-24,2019-07-16,33.62,34.78,33.51,0.324,-749.16,TIME_STOP,22,-3.44
MU,short,452,2019-07-11,2019-07-23,42.15,45.62,41.83,0.754,-1569.11,STOP_LOSS,12,-8.24
LMT,long,17,2019-07-19,2019-07-26,296.83,306.76,295.64,0.402,168.89,T1_HIT,7,3.35
LLY,long,52,2019-07-15,2019-08-05,99.14,101.96,99.13,0.011,146.61,T1_HIT,21,2.84
GOOGL,short,83,2019-07-29,2019-08-05,61.58,58.13,61.71,-0.212,286.01,T1_HIT,7,5.6
AAPL,short,100,2019-08-01,2019-08-05,51.12,47.32,50.92,0.395,380.24,T1_HIT,4,7.44
INTC,short,116,2019-07-22,2019-08-06,43.58,41.36,43.8,-0.507,256.91,T1_HIT,15,5.08
GOOGL,short,83,2019-07-29,2019-08-06,61.58,57.76,61.71,-0.212,316.66,T2_HIT,8,6.2
AMZN,long,214,2019-07-30,2019-08-06,94.56,89.61,95.62,-1.113,-1058.12,STOP_LOSS,7,-5.23
AAPL,short,100,2019-08-01,2019-08-06,51.12,46.92,50.92,0.395,420.39,T2_HIT,5,8.22
NFLX,long,621,2019-07-19,2019-08-08,32.34,31.1,32.52,-0.554,-768.18,STOP_LOSS,20,-3.82
INTC,short,116,2019-07-22,2019-08-09,43.58,41.18,43.8,-0.507,278.28,T2_HIT,18,5.51
PFE,long,804,2019-08-02,2019-08-13,25.73,23.83,25.73,0.001,-1525.17,STOP_LOSS,11,-7.37
CSCO,long,485,2019-08-08,2019-08-16,43.08,37.88,42.71,0.862,-2521.09,STOP_LOSS,8,-12.07
QCOM,long,85,2019-08-02,2019-08-20,60.1,63.63,60.75,-1.065,299.53,T1_HIT,18,5.86
QCOM,long,85,2019-08-02,2019-08-22,60.1,65.62,60.75,-1.065,469.25,T2_HIT,20,9.19
LMT,long,17,2019-07-19,2019-08-23,296.83,319.77,295.64,0.402,389.99,T2_HIT,35,7.73
MS,long,614,2019-08-05,2019-08-27,33.08,32.53,34.04,-2.831,-337.41,TIME_STOP,22,-1.66
XOM,long,405,2019-08-06,2019-08-28,50.9,49.51,50.89,0.019,-563.19,TIME_STOP,22,-2.73
LLY,long,156,2019-07-15,2019-09-04,99.14,105.29,99.13,0.011,959.83,POST_T1_STOP,51,6.21
QCOM,long,170,2019-08-02,2019-09-06,60.1,67.37,60.75,-1.065,1235.85,T3_HIT,35,12.1
MU,short,426,2019-09-05,2019-09-12,46.71,49.54,45.65,2.32,-1204.69,STOP_LOSS,7,-6.05
LMT,long,35,2019-07-19,2019-09-18,296.83,329.54,295.64,0.402,1144.88,T3_HIT,61,11.02
MRK,long,80,2019-09-11,2019-09-23,62.81,65.58,62.68,0.209,221.86,T1_HIT,12,4.42
MU,short,101,2019-09-12,2019-09-25,49.54,47.26,49.22,0.644,229.48,T1_HIT,13,4.59
