symbol,direction,qty,entry_date,exit_date,entry_px,exit_px,gross_pnl,exit_reason,hold_days,return_pct
PFE,long,378,2019-04-22,2019-06-21,26.23,29.53,1246.54,T3_HIT,60,12.57
QCOM,long,55,2019-05-24,2019-06-21,58.28,61.7,187.92,T2_HIT,28,5.86
ABBV,long,254,2019-06-04,2019-06-26,56.3,49.72,-1671.67,STOP_LOSS,22,-11.69
QCOM,long,111,2019-05-24,2019-06-28,58.28,64.56,696.54,T3_HIT,35,10.77
AMAT,long,265,2019-05-10,2019-07-02,37.98,42.18,1114.52,T3_HIT,53,11.07
LMT,long,17,2019-07-19,2019-07-26,296.83,306.76,168.89,T1_HIT,7,3.35
LLY,long,51,2019-07-15,2019-08-05,99.28,102.11,144.0,T1_HIT,21,2.84
AMZN,long,214,2019-07-30,2019-08-06,94.56,89.61,-1058.12,STOP_LOSS,7,-5.23
NFLX,long,608,2019-07-19,2019-08-08,32.34,31.1,-752.1,STOP_LOSS,20,-3.82
PFE,long,773,2019-08-02,2019-08-13,26.18,24.25,-1492.0,STOP_LOSS,11,-7.37
CSCO,long,462,2019-08-08,2019-08-16,43.08,37.88,-2401.54,STOP_LOSS,8,-12.07
QCOM,long,83,2019-08-02,2019-08-20,60.1,63.63,292.49,T1_HIT,18,5.86
QCOM,long,83,2019-08-02,2019-08-22,60.1,65.62,458.2,T2_HIT,20,9.19
LMT,long,17,2019-07-19,2019-08-23,296.83,319.77,389.98,T2_HIT,35,7.73
MS,long,591,2019-08-05,2019-08-27,33.26,32.71,-326.55,TIME_STOP,22,-1.66
XOM,long,381,2019-08-06,2019-08-28,51.23,49.83,-533.24,TIME_STOP,22,-2.73
LLY,long,152,2019-07-15,2019-09-04,99.28,105.44,936.56,POST_T1_STOP,51,6.21
QCOM,long,167,2019-08-02,2019-09-06,60.1,67.37,1214.04,T3_HIT,35,12.1
LMT,long,34,2019-07-19,2019-09-18,296.83,329.54,1112.17,T3_HIT,61,11.02
MRK,long,79,2019-09-11,2019-09-23,62.81,65.58,219.08,T1_HIT,12,4.42
MRK,long,236,2019-09-11,2019-10-22,62.81,63.34,124.04,POST_T1_STOP,41,0.84
BA,long,15,2019-10-22,2019-10-24,332.14,337.71,83.46,T1_HIT,2,1.68
BA,long,15,2019-10-22,2019-11-06,332.14,354.67,337.86,T2_HIT,15,6.78
BA,long,31,2019-10-22,2019-11-12,332.14,364.32,997.53,T3_HIT,21,9.69
LMT,long,16,2019-10-23,2019-11-14,312.01,323.28,180.31,T1_HIT,22,3.61
SBUX,long,71,2019-11-06,2019-11-18,70.63,72.57,138.04,T1_HIT,12,2.75
NKE,long,60,2019-10-29,2019-11-20,82.3,85.25,177.19,T1_HIT,22,3.59
NKE,long,60,2019-10-29,2019-12-13,82.3,88.49,371.45,T2_HIT,45,7.52
SBUX,long,71,2019-11-06,2019-12-13,70.63,76.12,389.78,T2_HIT,37,7.77
LMT,long,47,2019-10-23,2019-12-16,312.01,325.78,647.18,POST_T1_STOP,54,4.41
HON,long,137,2019-12-04,2019-12-27,150.18,152.86,367.8,TIME_STOP,23,1.79
NKE,long,122,2019-10-29,2019-12-30,82.3,92.22,1210.69,T3_HIT,62,12.06
SBUX,long,142,2019-11-06,2020-01-14,70.63,78.86,1168.83,T3_HIT,69,11.65
